label,nodeType,order,path,price,ingredients,link,imageLink,Swiggy ,Zomato,description
Chicken Fry,ProductType,9,"Inventory,Food,Restaurant,Snacks,Non-Vegeterian,",170,"""salt  ,Oil  ,onion  ,ginger  ,Chilly  ,
Pepper powder  ,chicken masala  ,Chicken  ",https://drive.google.com/file/d/1mWmrLNgJfrNpnzlbAzFVibM_tkVFr_ge/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenFry.jpg,,180,
Chicken Lapeta,ProductType,10,"Inventory,Food,Restaurant,Snacks,Non-Vegeterian,",170,,https://drive.google.com/file/d/1IAN_u53Nx3sgkcuN1RbmJb88rxcHmTzs/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenLapeta.jpg,,180,
Chicken Chilli,ProductType,11,"Inventory,Food,Restaurant,Snacks,Non-Vegeterian,",150," chicken breasts,  salt, pepper, egg, beaten,flour( g), green pepper, sliced, red pepper, sliced,",https://drive.google.com/file/d/1zccr03DUmOBDqoID5-I1IkcG9nR33fue/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenChilli.jpg,,160,
Chicken 65,ProductType,12,"Inventory,Food,Restaurant,Snacks,Non-Vegeterian,",150," chicken  ,  salt, chili powder,  chopped garli,  finely chopped green chile peppers,  cornstarch,etc",https://drive.google.com/file/d/1KiB00yMYljrQJTd8pi_-yERqqS-9omgS/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Chicken65.jpg,,160,
Chicken Ukkad,ProductType,13,"Inventory,Food,Restaurant,Snacks,Non-Vegeterian,",160,,https://drive.google.com/file/d/1F-Ts5-eGjg3U5ZxVzNV-lKjigq4gSmtb/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/ChickenUkkad.jpg,,,
Mutton Fry,ProductType,14,"Inventory,Food,Restaurant,Snacks,Non-Vegeterian,",150,"""salt  ,Oil  ,onion  ,ginger  ,Chilly  ,
Pepper powder  ,chicken masala  ,Chicken  ",https://drive.google.com/file/d/19UlcaHpNTF7E8S6xFlTvhyUuq3L1fZAq/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MuttonFry.jpg,,160,
Mutton Lapeta,ProductType,15,"Inventory,Food,Restaurant,Snacks,Non-Vegeterian,",150,,https://drive.google.com/file/d/1tjF1qRWH5WNXuSK7LBxRrKGKkV2CAIpn/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MuttonLapeta.jpg,,160,
Mutton Ukkad,ProductType,16,"Inventory,Food,Restaurant,Snacks,Non-Vegeterian,",140,,https://drive.google.com/file/d/1NWl-KjpZxO_cKTMN8WuNfEd_WfGvxLjM/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MuttonUkkad.jpg,,,
Non-Vegeterian Entree,ProductClass,1,"Inventory,Food,Restaurant,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,,,
NonVegeterian,ProductLine,2,"Inventory,Food,Restaurant,Non-Vegeterian Entree,",,,,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/categoryimages3/NonVegetarian.jpg,,,
