label,nodeType,order,path,price,link,imageLink,description
Pindi Chole Masala,ProductType,27,"Inventory,Food,Restaurant,Entree,Vegeterian,",180,https://drive.google.com/file/d/1lXx5lBuUGqfzlIORGC5g0lcjE7VrbQqj/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food281221/PindiCholeMasala.jpg,
Green Peas Masala,ProductType,28,"Inventory,Food,Restaurant,Entree,Vegeterian,",180,https://drive.google.com/file/d/1lFZ3npwGGcVr8CkPFRJngdVNnR0WOGZL/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/GreenPeasMasala.jpg,
Lashuni Palak,ProductType,29,"Inventory,Food,Restaurant,Entree,Vegeterian,",180,https://drive.google.com/file/d/1q_E1el1489vF7wnlW_KWkq9x9mGDqUab/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food281221/LashuniPalak.jpg,
Veg Jaipuri,ProductType,30,"Inventory,Food,Restaurant,Entree,Vegeterian,",180,https://drive.google.com/file/d/1W2iuySP3g-maGyGMgKdcXvF1XT3J1awp/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegJaipuri.jpg,
Veg Makhanwala,ProductType,31,"Inventory,Food,Restaurant,Entree,Vegeterian,",190,https://drive.google.com/file/d/18Eda-3mOCYFIWKcZiKfr_2unQaCzLgWr/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegMakhanwala.jpg,
Veg Darbari,ProductType,32,"Inventory,Food,Restaurant,Entree,Vegeterian,",190,https://drive.google.com/file/d/1ehb6GctsIPrtMeneMY5zxk8G5gNxKXVi/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food281221/VegDarbari.jpg,
Veg Nizam,ProductType,33,"Inventory,Food,Restaurant,Entree,Vegeterian,",190,,,
Veg Kofta,ProductType,34,"Inventory,Food,Restaurant,Entree,Vegeterian,",190,https://drive.google.com/file/d/1Mvg_zicUKWbqy17-QkdNaNjk6pwcqvxT/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Veg-Kofta.jpg,
Shabnam Curry,ProductType,35,"Inventory,Food,Restaurant,Entree,Vegeterian,",190,https://drive.google.com/file/d/1quIeE0QpWkg_M9kKshBj-J-Rvwj2VKkX/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food281221/ShabnamCurry.jpeg,
Veg Saoji,ProductType,36,"Inventory,Food,Restaurant,Entree,Vegeterian,",190,https://drive.google.com/file/d/1f32N0r5MHKav64V6lm9Vvdkwex-O3Ewt/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food281221/VegSaoji.jpg,
Baby Corn Palak,ProductType,37,"Inventory,Food,Restaurant,Entree,Vegeterian,",200,https://drive.google.com/file/d/1-VQraUT9G9cg51A_2eIrbxjv5f99F9Zq/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/BabycornPalak.jpg,
Mutter Mushroom Masala,ProductType,38,"Inventory,Food,Restaurant,Entree,Vegeterian,",200,https://drive.google.com/file/d/170N01Fk3ntmZ4V2eEc8dTJTILpf6Jneo/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-5/MutterMushroomMasala.jpg,
Bhindi Do Pyaza,ProductType,39,"Inventory,Food,Restaurant,Entree,Vegeterian,",190,https://drive.google.com/file/d/1Nb-kK5I34s8s6yOY_joMrzhjT3vF4mrq/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/BhindiDoPyaza.jpg,
Baingan Ka Bharta,ProductType,40,"Inventory,Food,Restaurant,Entree,Vegeterian,",190,https://drive.google.com/file/d/1AaDBlJc3V86VBB-u3TvC7TKTLxHkjo7X/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food281221/BainganKaBharta.jpg,
Mushroom Curry,ProductType,41,"Inventory,Food,Restaurant,Entree,Vegeterian,",200,https://drive.google.com/file/d/1r9RXtGwlLQ3Qs2ZB6R9GZL_2gt7Q4RGV/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MushroomCurry.jpg,
Tawa Mushroom,ProductType,42,"Inventory,Food,Restaurant,Entree,Vegeterian,",190,https://drive.google.com/file/d/1j7Qhp9MTejR0XJ5XRAWvQGKCbUs88xVM/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Tawa-Mushroom.jpg,
Gatta Curry,ProductType,43,"Inventory,Food,Restaurant,Entree,Vegeterian,",190,https://drive.google.com/file/d/1WNow9RCk1AB-t2Jg6kLMKL-eRLcGdDYO/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food281221/GattaCurry.jpg,
Veg Jalfrezi,ProductType,44,"Inventory,Food,Restaurant,Entree,Vegeterian,",210,https://drive.google.com/file/d/1gKfuZt8px5jS4U02ZF9IgsxPWnljv_zb/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/VegJalfrezi.jpg,
Navratan Korma,ProductType,45,"Inventory,Food,Restaurant,Entree,Vegeterian,",250,https://drive.google.com/file/d/1uWwRhYXhFOlj_Yl2T7WM3v3dWPURsm1R/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/navratankorma.jpg,
Subz Diwani Handi,ProductType,46,"Inventory,Food,Restaurant,Entree,Vegeterian,",210,https://drive.google.com/file/d/1Klzf1mXDNDHKL2IEdSkKrOB8sU2pMWed/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food281221/SubzDiwaniHandi.jpg,
Malai Kofta,ProductType,47,"Inventory,Food,Restaurant,Entree,Vegeterian,",250,https://drive.google.com/file/d/1VLPs06se6YOpnFqheEoxjS2W43ntezp8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MalaiKofta.jpg,
Veg Evento Kofta,ProductType,48,"Inventory,Food,Restaurant,Entree,Vegeterian,",230,https://drive.google.com/file/d/1bMKuWP6lyJiCdO3YGTxZBJqoCzXrUg7h/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/food281221/VegEventoKofta.jpg,
Paneer Butter Masala,ProductType,49,"Inventory,Food,Restaurant,Entree,Vegeterian,",230,https://drive.google.com/file/d/1hxW4pcTbsHP6Ql9I_VfGsXwGKF6m006R/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/PaneerButterMasala.jpg,
Paneer Khurchan,ProductType,50,"Inventory,Food,Restaurant,Entree,Vegeterian,",240,https://drive.google.com/file/d/1o_Q1sX4MGDakj_bED3VygODg79cXqp5r/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-5/PaneerKhurchan.jpg,
