label,nodeType,order,path,price,link,imageLink,description
Paneer Mushroom Half,ProductUnit,52,"Inventory,Food,Restaurant,Entree,Vegeterian,Paneer Mushroom,",120,https://drive.google.com/file/d/1IDRZ5Oi_uKf1hMczGXrpG1RPyvy9nct5/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/PaneerMushroomHalf.jpg,
Kaju Fry,ProductType,53,"Inventory,Food,Restaurant,Entree,Vegeterian,",150,https://drive.google.com/file/d/14pS6LbfIkpDZLor8faaidQRf0SZpFMf3/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/KajuFry.JPG,
Kaju Fry Full,ProductUnit,54,"Inventory,Food,Restaurant,Entree,Vegeterian,Kaju Fry,",150,https://drive.google.com/file/d/12G50QyIJfly4GnBEi2ummvOKXZNmoE1z/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/KajuFry.JPG,
Kaju Fry Half,ProductUnit,55,"Inventory,Food,Restaurant,Entree,Vegeterian,Kaju Fry,",100,https://drive.google.com/file/d/12G50QyIJfly4GnBEi2ummvOKXZNmoE1z/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/KajuFry.JPG,
Kaju Paneer,ProductType,56,"Inventory,Food,Restaurant,Entree,Vegeterian,",180,https://drive.google.com/file/d/1-dUngyHHTEXNMJ5tqp_kXw22kP-eGWYD/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/KajuPaneer.jpg,
Kaju Paneer Full,ProductUnit,57,"Inventory,Food,Restaurant,Entree,Vegeterian,Kaju Paneer,",180,https://drive.google.com/file/d/1SEbLb-XcbYR2bOcxJfZDnaxHD0PyRlfp/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/KajuPaneerFull.jpg,
Kaju Paneer Half,ProductUnit,58,"Inventory,Food,Restaurant,Entree,Vegeterian,Kaju Paneer,",120,https://drive.google.com/file/d/1KO3o2GiGvywRcxwkZWxSai2phnYot0Yn/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/KajuPaneerHalf.jpg,
Kaju Curry,ProductType,59,"Inventory,Food,Restaurant,Entree,Vegeterian,",170,https://drive.google.com/file/d/1gC6vM-RK8u99OSMQLKktR7ByUm1Jnk6W/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/KajuCurry.jpg,
Kaju Curry Full,ProductUnit,60,"Inventory,Food,Restaurant,Entree,Vegeterian,Kaju Curry,",170,https://drive.google.com/file/d/12RPrEQon7LtqL1WxHGGxjLxhq8wEqZDD/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/KajuCurryFull.png.crdownload.png,
Kaju Curry Half,ProductUnit,61,"Inventory,Food,Restaurant,Entree,Vegeterian,Kaju Curry,",110,https://drive.google.com/file/d/16ElRhGQ-ltfUby-xnJIk8XABXmy2yaBZ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/KajuCurryHalf.jpg,
Kaju Mushroom,ProductType,62,"Inventory,Food,Restaurant,Entree,Vegeterian,",180,https://drive.google.com/file/d/1ue2HMbXmecSSAt6qJ2xoZL6jssigqBq5/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/KajuMushroom.jpg,
Kaju Mushroom Full,ProductUnit,63,"Inventory,Food,Restaurant,Entree,Vegeterian,Kaju Mushroom,",180,https://drive.google.com/file/d/10DNodqTeMb-0v4yNSHwWdddffI1UcVGV/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img-2/KajuMushroomFulljpg.crdownload.jpg,
Kaju Mushroom Half,ProductUnit,64,"Inventory,Food,Restaurant,Entree,Vegeterian,Kaju Mushroom,",120,https://drive.google.com/file/d/1elKdGwWjzyJE6WP1CkhGxpMej8c3ENXy/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/KajuMushroomHalf.jpg,
Mushroom Masala,ProductType,65,"Inventory,Food,Restaurant,Entree,Vegeterian,",170,https://drive.google.com/file/d/1lxiJ7KE2cIt_oraf27eM76_VxZCeFywA/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/MushroomMasala.jpg,
Mushroom Masala Full,ProductUnit,66,"Inventory,Food,Restaurant,Entree,Vegeterian,Mushroom Masala,",170,https://drive.google.com/file/d/11rHz_ke84vEfE7dcaPFISJBFlqSXiduw/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/MushroomMasalaFull.jpg,
Mushroom Masala Half,ProductUnit,67,"Inventory,Food,Restaurant,Entree,Vegeterian,Mushroom Masala,",110,https://drive.google.com/file/d/1kwQjt0KF_tyaw7IyD_R3HbA_-SqUXWy1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/MushroomMasalaHalf.jpg,
P B M,ProductType,68,"Inventory,Food,Restaurant,Entree,Vegeterian,",180, ,,
P B M Full,ProductUnit,69,"Inventory,Food,Restaurant,Entree,Vegeterian,P B M,",180, ,,
P B M Half,ProductUnit,70,"Inventory,Food,Restaurant,Entree,Vegeterian,P B M,",120, ,,
Malai Kofta,ProductType,71,"Inventory,Food,Restaurant,Entree,Vegeterian,",180,https://drive.google.com/file/d/1VLPs06se6YOpnFqheEoxjS2W43ntezp8/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/MalaiKofta.jpg,
Malai Kofta Full,ProductUnit,72,"Inventory,Food,Restaurant,Entree,Vegeterian,Malai Kofta,",180,https://drive.google.com/file/d/1uIfHhZqH5yEewFVeCFChiiW9hjjz4ihw/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/MalaiKoftaFull.jpg,
Malai Kofta Half,ProductUnit,73,"Inventory,Food,Restaurant,Entree,Vegeterian,Malai Kofta,",120,https://drive.google.com/file/d/1WG79kA46JWlclJCCfoTayzRrRJHPUDx1/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-4/MalaiKoftaHalf.jpg,
Mix Veg,ProductType,74,"Inventory,Food,Restaurant,Entree,Vegeterian,",130,https://drive.google.com/file/d/1ck00uoIiKEXjtfN1K8Zx7xfA2Dsc5VeU/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-2/Vegeterian/MixVeg.jpg,
