label,nodeType,order,path,price,description,link,imageLink,Swiggy
Frappe,ProductClass,1,"Inventory,Food,Cafe,",,,https://drive.google.com/file/d/1kTffB0EK1VJBDNvptHoG18S4SGGAC2Bl/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant7/Frappe.jpg,
Vegeterian,ProductLine,2,"Inventory,Food,Cafe,Frappe,",,,,,
NonVegeterian,ProductLine,3,"Inventory,Food,Cafe,Frappe,",,,,,
Cafe Frappe,ProductType,4,"Inventory,Food,Cafe,Frappe,Vegeterian,",90,, ,,
Cafe Frappe with Whipped Cream,ProductType,5,"Inventory,Food,Cafe,Frappe,Vegeterian,",120,,https://drive.google.com/file/d/1LOyRN0YpDeUlfNy-tAbp3TfwypwRCTAh/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/CafeFrappewithWhippedCream.jpg,
Choco Frappe,ProductType,6,"Inventory,Food,Cafe,Frappe,Vegeterian,",100,,https://drive.google.com/file/d/1zbyClXSrk_-y6CvIAItT915jz1VJmskW/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/ChocoFrappe.jpg,
Devil's Own,ProductType,7,"Inventory,Food,Cafe,Frappe,Vegeterian,",110,,https://drive.google.com/file/d/1fjIfV7kfnALhmgyKaglt31d6EpTZ3gZ4/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/DevilsOwn.jpg,
Cold Choco Latte,ProductType,8,"Inventory,Food,Cafe,Frappe,Vegeterian,",120,,https://drive.google.com/file/d/1MrbpMHhz51EpRH_i2wuoXBsHG4Mbkzb_/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/ColdChocoLatte.jpg,
Crunchy Frappe Whipped Cream,ProductType,9,"Inventory,Food,Cafe,Frappe,Vegeterian,",95,,https://drive.google.com/file/d/1_qw3DAqR7mjWvsHnMvZ4uVEpwPnPpfuP/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/restaurant-6/CrunchyFrappeWhippedCream.jpeg,
Crunchy Frappe With Vanilla,ProductType,10,"Inventory,Food,Cafe,Frappe,Vegeterian,",75,,https://drive.google.com/file/d/1ygUIQbTKa6vM8ONEQh9Bef6uIXMuw7pw/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/CrunchyFrappeWithVanilla.jpg,
Crunchy Frappe With Choco,ProductType,11,"Inventory,Food,Cafe,Frappe,Vegeterian,",85,,https://drive.google.com/file/d/1Cz02rasWQYvzaiAiEuIkFSnDDFYMuYrJ/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/Cafe/CrunchyFrappeWithChoco.jpg,
Lychee With Whipped Cream,ProductType,12,"Inventory,Food,Cafe,Frappe,Vegeterian,",85,,,,
Crunchy Frappe,ProductType,13,"Inventory,Food,Cafe,Frappe,Vegeterian,",60,,https://drive.google.com/file/d/1NKBizp8R06SS4NX3H00n_KGB-PjlGenu/view?usp=sharing,https://d32jc9rx98ldq0.cloudfront.net/staging/inventory/compressed/img/CrunchyFrappe.jpg,
